session_id,difficulty,fun,feedback
697fcc634392f8880a2d1d9b,just right,better than average,Thanks for allowing me to participate. It was fun.
697fcc6ca59dc63ed52011c9,just right,better than average,This was a fun study to complete
697fcc691f1f2096568e1148,too easy,better than average,
697fcc6dd0d084b287eeda25,just right,typical,
697fcc70222897395ebb451f,just right,better than average,
697fcc71b43656123621fc0f,too easy,better than average,Good luck with your research 
697fcc75a7a59a94bef3ed4a,just right,better than average,
697fcc725af5cbdd4d627aea,just right,better than average,
697fcc7684de211f77aa6388,just right,better than average,
697fcc7947b180008896498b,just right,typical,
697fcc7d6bbd7889d921e322,just right,better than average,"It was a lot of fun, thank you!"
697fcc817715294da6795d79,just right,better than average,
697fcc83cceb4bbcd881964d,just right,better than average,
697fcc85f3e12a1518130fe1,just right,better than average,
697fcc872d6cb90bce6a369d,just right,,no
697fccac78b1e112fbdf506c,just right,better than average,
697fccc5af6691424af75450,just right,better than average,
697fccc9de2f72c7fc623f67,just right,better than average,
697fccdbb5837582919c64bd,too easy,better than average,
697fcce21f1f2096568e114c,just right,better than average,
697fccf8f191ca0df8189367,just right,better than average,
697fccfa7163f852e87b280d,too easy,typical,
697fccfd6a634b6c1b4bde11,just right,better than average,
697fccfb3eebe658bb525962,just right,typical,
697fccfb65700142cd0219a8,just right,better than average,
697fccfe84225caa76b63979,just right,typical,
697fcd01bc1af450faf000ea,just right,better than average,
697fcd09aaa99bd23790f27e,just right,better than average,Nope
697fcd11835937e227df4fe1,just right,typical,no
697fcd548b0527843d39c860,too easy,typical,
697fcd4c157f687890c271b4,just right,better than average,
697fcd18d1aa1cd602cd7614,just right,better than average,
697fcd5fc712116607e83e12,too easy,better than average,none
697fcd7b176760aa402cdf8d,too easy,better than average,
697fcd6e04632361ccf5ae84,too easy,better than average,
697fcd7b5ebfbb57d05f22b2,too easy,typical,
697fcd7f33a43ec217263747,too easy,typical,
697fcd7c9a7b7ac623ab7d3e,just right,better than average,
697fcd87da0c4ae98dc90a71,just right,typical,
697fcd89a5784435940abbba,just right,typical,
697fcd90ebb1b138d133b5de,just right,better than average,
697fcd8dd4c05883ad09fc44,just right,better than average,very fun
697fcd95e0571c7ee8937d86,just right,typical,
697fcd998d84a7c9672de143,just right,better than average,
697fcdb4027633ddc926cc2a,too easy,typical,
697fcdc1de560ad567ca9611,just right,better than average,
697fcd9df0961d7796339e7d,just right,typical,
697fcdada5784435940abbbe,just right,typical,
697fcdefa02cbc84f9450ed2,just right,typical,
697fcdf774a3a34713ed097f,just right,better than average,
697fcdfc61fe3e46e5ef0c40,just right,typical,thanks for the work and the bonus
697fce024c6e95d4b90d9d30,just right,better than average,
697fce127bb68d935cb9982c,just right,better than average,
697fce0333a43ec217263754,just right,better than average,
697fce1ba7a59a94bef3ed72,just right,typical,
697fce649d40e47180d05517,just right,better than average,
697fce698f118484bd624a11,just right,typical,
697fcea044bedb5a418e0ff0,just right,better than average,
697fcebaa5784435940abbd3,too hard,worse than average,
697fce7f695c7349ad352d5f,too easy,better than average,
697fce6db92acdc8c9b6fb48,just right,typical,
697fce9586a0b8a69f615d09,just right,better than average,
697fcec67e9fed4bcbbedb85,just right,better than average,This was fun!
697fced361d0bc05e39053d8,just right,typical,
697fcef238528958f10fa922,just right,typical,I enjoyed participating and wish you well with your research.
697fceed390ea621bbcda426,just right,better than average,
697fcef26049cfc9c1ebe9dd,just right,typical,n/a
697fcf2411bb07a2e473dedd,just right,typical,
697fcf5474a3a34713ed0998,just right,better than average,
697fcf66d1e86a688a8de72b,just right,typical,
697fcfa9885f5eb234d85675,just right,typical,
697fd01384225caa76b639b9,just right,better than average,
697fcfecacc06cf45b596a3c,just right,better than average,
697fcf70d1eefb7fb56960b0,just right,typical,
697fcfe10fd0ee645df3331f,just right,typical,"Nothing to add, thank you for the survey."
697fd0263e2fae84365990bb,just right,typical,
697fd03a73c91425f3d36af7,just right,typical,
697fd0a4ae51687dcafe7fc1,just right,better than average,Thank you for the interesting game
697fd0cb5b3485cfc3991279,just right,better than average,
697fd0ce12bd87833b6d4ec1,just right,typical,
697fd15bc3d98daa71a609f1,just right,typical,show me the money!
697fd2739274a49010c4d6f8,just right,better than average,
697fd2ab50b4b435353a4391,just right,better than average,I enjoyed the study. Wishing you continued success in your research!
697fd3a3217cd98dd5f759e6,just right,better than average,
697fd5f5c0dd066708b077ce,too easy,typical,
697fd6f2dcc9d5ba5dca9c47,just right,typical,none
697fd565a867c2985ccaf996,just right,better than average,
697fdcbcde560ad567ca96ff,just right,typical,
697fe1071f6f46dd79480ce5,just right,typical,
697fdc0e5c2c7b65ecbc2b3b,just right,typical,
697fdb1f0dd2653476004989,just right,better than average,"Given twice the amount of time, I could have predicted better. That was fun!"
697fdb0d3849e0d9449678f9,just right,,
697fdc1cdbe591ab6d448f2f,just right,typical,
697fe18c44e1e06270ed050b,just right,better than average,
697fe7d0ee3dfe9b9d3df5ec,just right,typical,
697fe40bb2f10f3620964bad,too easy,better than average,
697fe6437bea523bddc2ad6a,just right,typical,
697ff10aae51687dcafe82dd,just right,better than average,
697ffa2c23f8b0fe62f33f2a,just right,better than average,"Fun and engaging study!  I tried figuring out a pattern, but didn't notice one.  Great game!"
697fefc6088cfc67b0275c31,too easy,better than average,
