session_id,total,consent,instructions,EConnectionCheck,ENoReturn,SequencePrediction,Survey
6966b58e51cd5750cbf2333c,2:35,0:16,0:19,0:00,0:04,1:14,0:39
6966b590093e07bd693958ee,4:08,0:11,1:16,0:00,0:50,1:13,0:36
6966b594889d8db7fec2cce5,3:07,0:10,0:36,0:00,0:05,1:23,0:50
6966b591ba8bb0c22b3e02eb,2:29,0:07,0:27,0:00,0:03,1:05,0:44
6966b5951526dd3c4f4dec54,3:32,0:48,0:44,0:00,0:16,1:24,0:18
6966b595cdcbfb3db11aa452,3:08,0:07,0:32,0:00,0:04,1:52,0:31
6966b59636ba143d0d6123e0,N/A,0:07,,,,,
6966b597f61c0b3ea9e44b07,N/A,0:04,,,,,
6966b598454fd84bab93aa74,3:01,0:21,0:36,0:00,0:07,1:25,0:30
6966b59a3747ddebe19fce65,4:29,1:36,0:36,0:00,0:05,1:22,0:48
6966b59853068203ea615ae0,2:24,0:03,0:35,0:00,0:06,1:16,0:22
6966b59c8425df399f18f535,2:33,0:12,0:39,0:00,0:03,1:19,0:18
6966b59dcde658ae1593c51f,2:11,0:04,0:27,0:00,0:02,1:15,0:21
6966b59cce538af465090c6e,2:40,0:06,0:32,0:00,0:03,1:19,0:38
6966b59df267a4034cc5213e,2:24,0:04,0:20,0:00,0:05,1:13,0:40
6966b5a1d3d88afe130bfeeb,N/A,,,,,,
6966b59ef6e5bd5b2118b824,2:27,0:06,0:28,0:00,0:07,1:15,0:29
6966b59f5afb83382bcfe9ed,2:05,0:05,0:21,0:00,0:04,1:02,0:30
6966b5a1ba2885df3f968f01,2:46,0:07,0:28,0:00,0:05,1:20,0:44
6966b5a0815c315de6a7c18c,2:21,0:17,0:18,0:00,0:02,1:04,0:23
6966b5a8757715ca6d93ab46,N/A,,,,,,
6966b5a2b33904ea990dc48e,2:14,0:06,0:22,0:00,0:03,1:12,0:29
6966b5a62f215b6cf5308755,3:35,0:23,0:30,0:00,0:04,1:32,1:04
6966b5a8b52560f47fbaa76c,3:17,0:06,0:38,0:00,0:04,1:38,0:48
6966b5a91ea7df0e9bd300e6,2:51,0:15,0:29,0:00,0:08,1:33,0:23
6966b5a9fc85867c6480baa8,2:11,0:05,0:20,0:00,0:03,1:08,0:32
6966b5aa554a70b67db46f95,2:14,0:08,0:21,0:00,0:14,1:05,0:24
6966b5aa6a2695ef26213b33,2:55,0:04,0:30,0:00,0:07,1:18,0:55
6966b5ac1a5581b6574a47e5,2:21,0:12,0:17,0:00,0:02,1:15,0:33
6966b5ade26951799bc856db,2:35,0:07,0:21,0:00,0:05,1:31,0:30
6966b5bbf6e5bd5b2118b829,1:45,0:03,0:19,0:00,0:01,1:06,0:14
6966b5c1795b21ff17d5e79a,2:37,0:18,0:25,0:00,0:04,1:30,0:17
6966b5c30b10678116392855,2:15,0:05,0:18,0:00,0:01,1:12,0:37
6966b5cb7e8d8c94373959cf,4:24,2:16,0:35,0:00,0:04,1:05,0:22
6966b5d5e063dfe66a7d9112,2:01,0:04,0:23,0:00,0:07,1:12,0:14
6966b5d9b5789ab035035a77,2:40,0:11,0:28,0:00,0:06,1:42,0:11
6966b5db0b5827a754e0f275,2:12,0:03,0:27,0:00,0:06,1:07,0:27
6966b5e336ba143d0d6123e7,2:43,0:21,0:44,0:00,0:02,1:16,0:17
6966b5e4d7358cc7b7332e78,2:39,0:30,0:32,0:00,0:04,1:14,0:14
6966b5ea8cc8f25ffc7c39ce,2:27,0:03,0:22,0:00,0:05,1:15,0:40
6966b612579a59f570a48a7b,N/A,0:49,,,,,
6966b5fe4cc8e7d95bcfe8e3,2:25,0:19,0:20,0:00,0:03,1:22,0:19
6966b60b6cac262bc40701e4,2:23,0:07,0:27,0:00,0:05,1:08,0:35
6966b613900162b368e4deb8,3:15,0:03,0:49,0:00,0:07,1:49,0:24
6966b61505a9ebf46b7e2899,2:30,0:07,0:24,0:00,0:03,1:28,0:25
6966b61b6ad849c47cd830fa,2:05,0:07,0:23,0:00,0:02,1:14,0:18
6966b61630a60c640b561033,3:06,0:21,0:24,0:00,0:03,1:30,0:44
6966b61c73800b546277361b,2:32,0:05,0:35,0:00,0:04,1:08,0:37
6966b61c767c101bb3463f3a,5:05,0:24,0:30,0:00,0:04,1:16,2:48
6966b61dff0e63a4f84df17a,2:46,0:43,0:22,0:00,0:03,1:17,0:19
6966b61eaa8cc1cfacefaccf,2:57,0:40,0:26,0:00,0:03,1:18,0:27
6966b620196e880266bfb74f,2:17,0:06,0:19,0:00,0:07,1:14,0:28
6966b625205c5663eb4a8903,1:53,0:07,0:17,0:00,0:01,1:03,0:23
6966b64c3e755e6935b30613,2:29,0:24,0:22,0:00,0:04,1:08,0:28
6966b65be9bb15ed01cd5517,3:06,0:19,0:23,0:00,0:20,1:35,0:24
6966b68ec993ead0a830bd76,3:51,1:11,0:18,0:00,0:02,1:35,0:42
6966b690d239c9d999ef548c,2:09,0:04,0:24,0:00,0:01,1:02,0:36
6966b68f26c8dad159bc6281,1:40,0:03,0:20,0:00,0:02,1:03,0:09
6966b696cf8d4bb7607084af,1:43,0:03,0:21,0:00,0:02,1:06,0:09
6966b69b53969f6332c3a33e,2:51,0:27,0:24,0:00,0:04,1:26,0:29
6966b69770a5e9e3e0a6a068,2:24,0:06,0:31,0:00,0:04,1:12,0:29
6966b69a1bba774662c5328e,2:21,0:05,0:21,0:00,0:02,1:19,0:32
6966b69d661ff995866af309,2:11,0:03,0:21,0:00,0:02,1:08,0:35
6966b69fdf3065ff7b2c1651,3:36,0:23,0:42,0:00,0:07,1:37,0:46
6966b6a0291fff9a7a992766,2:36,0:16,0:48,0:00,0:04,1:12,0:13
6966b6a83f3d06adbef36f9b,2:18,0:04,0:26,0:00,0:03,1:03,0:40
6966b70c15fc1fd52e5d9cbf,2:58,0:15,0:25,0:00,0:04,1:45,0:27
6966b6f65a39d6a9906d4ced,3:29,0:14,0:37,0:00,0:05,1:20,1:11
6966b71673684f981c5fbc61,2:35,0:06,0:45,0:00,0:03,1:29,0:10
6966b71ab6d598953b162329,2:38,0:18,0:38,0:00,0:04,1:21,0:15
6966b71d94619ce13e2d08ef,2:05,0:06,0:23,0:00,0:05,1:09,0:19
6966b79bdae1af68e8466ddc,2:09,0:03,0:30,0:00,0:03,1:04,0:25
6966b7283e755e6935b30624,2:24,0:06,0:22,0:00,0:04,1:04,0:46
6966b73dd286671aa68d2de6,3:36,0:15,0:48,0:00,0:07,1:24,1:00
6966b800dc2bed96c85bf98c,2:08,0:10,0:21,0:00,0:04,1:09,0:22
6966b807aa522e9a51a6a355,N/A,,,,,,
6966b83d99a586405e8fc3c1,2:29,0:10,0:24,0:00,0:04,1:20,0:29
6966b8044bc43f899b39f619,4:33,0:03,2:35,0:00,0:06,1:11,0:35
6966b8791770beb876a909d7,2:30,0:07,0:34,0:00,0:03,1:36,0:08
6966b807b5789ab035035aa0,2:34,0:06,0:28,0:00,0:04,1:02,0:53
6966b81a2ff52a8115219985,4:16,1:07,0:37,0:00,0:05,1:38,0:44
6966b854c11309e43cde3151,2:05,0:04,0:22,0:00,0:01,1:20,0:16
6966b87710b3dcf38e7c38d6,1:59,0:04,0:17,0:00,0:01,1:06,0:29
6966b822f9652a37aa80b9e5,2:07,0:04,0:25,0:00,0:02,1:15,0:16
6966b8f46135a71fa8193ae0,N/A,,,,,,
6966b87f73d219fbcade2f41,3:16,0:07,0:34,0:00,0:09,2:05,0:19
6966b88a2b66405d2a4f9482,2:47,0:13,1:07,0:00,0:03,1:03,0:18
6966b8792249614bf4830e04,2:02,0:03,0:17,0:00,0:03,1:05,0:32
6966b9399e0389d048331e32,2:18,0:04,0:22,0:00,0:05,1:15,0:29
6966b949efcf57b59665b495,2:06,0:10,0:28,0:00,0:02,0:59,0:24
6966b91078040c6e904a8800,4:59,0:47,0:48,0:00,0:07,2:27,0:48
6966b96ef267a4034cc52185,2:01,0:13,0:20,0:00,0:03,1:06,0:14
6966ba75cd43a7827482ce19,3:24,0:08,0:50,0:00,0:05,1:00,1:19
6966b98435274a4a7fb3078c,3:37,0:09,0:48,0:00,0:13,1:14,1:11
6966b97505a36f838e5b65d0,2:53,0:03,0:32,0:00,0:07,1:21,0:48
6966bba83c55de7df76dcb54,3:35,0:57,0:32,0:00,0:07,1:28,0:27
6966b9e5455ea2a58de6872f,2:15,0:05,0:22,0:00,0:02,1:06,0:39
6966bbd50bc80af49c0bfc09,3:17,0:05,0:24,0:00,0:06,2:17,0:22
6966bd38205c5663eb4a89b1,2:08,0:06,0:26,0:00,0:06,1:16,0:11
6966bd3d35274a4a7fb307e0,3:35,0:17,0:37,0:00,0:06,1:32,1:01
6966bde4734f048da46f30b9,3:11,0:07,0:25,0:00,0:04,1:07,1:27
6966be35c4a634679e1a3745,3:02,0:07,0:40,0:00,0:07,1:22,0:42
6966be97e6462dee617116e2,2:16,0:03,0:26,0:00,0:03,1:16,0:26
6966bef1933ed17148cf7902,1:48,0:04,0:18,0:00,0:01,1:03,0:17
6966bf2b479d57db8582639f,3:25,0:16,0:25,0:00,0:40,1:37,0:24
6966c3bee66f7083dfd2e28b,2:15,0:03,0:17,0:00,0:02,1:12,0:38
6966c0799e0389d048331ed4,2:32,0:20,0:20,0:00,0:02,1:33,0:14
6966c1e3b18ab69a81a98f41,3:23,0:25,0:19,0:00,0:02,1:10,1:24
