session_id,total,consent
6969112a742be570e1666863,0:22,0:03
6969112a669e26c18a0173af,2:31,0:09
6969112cb5951d73021642c5,2:23,0:09
6969112ebd4185977f91ddfc,5:54,3:17
6969112f775cf0ebd8bbdb15,2:18,0:09
696911314a70de0e638f900d,0:00,
69691130bfc83fcee7a44543,4:00,0:32
6969113162aa6da1f153b567,4:19,0:13
69691132fc1f0076a5fa813f,2:30,0:12
696911363dfb16726a6b2bb6,2:07,0:06
696911343c7576409f79afe1,1:49,0:04
69691138560c73e16eed91e6,0:24,0:04
6969113924bf52d305d70a0c,N/A,
696911376c73fa3b1dd70f26,2:35,0:29
6969113c595165554f2a4210,3:13,0:14
6969113b704b52b6e376d1ff,2:10,0:06
6969113a345676a28ab3adb5,2:20,0:06
6969113d6b216631b3c8428a,2:07,0:10
6969113e669e26c18a0173b1,2:13,0:10
6969113c6c36f7f15b2fd87f,2:13,0:04
69691140018ba75fbca17f3b,2:54,0:10
696911412b2437f9ff11e886,2:35,0:04
69691143742be570e1666868,2:24,0:24
696911413183b7b8121b7479,1:44,0:08
69691146089ae7177cbbda82,2:31,0:04
696911477ea7cd78deff4a83,4:06,0:08
6969114b1d5ad8952e279ce5,N/A,
6969116761d8c5fcd8974e52,0:28,0:13
6969114f7e8590b65711e4e2,4:21,0:07
69691155f9f68fe4976768ec,2:12,0:15
6969115d4c0dad5c6c6a1820,2:00,0:08
6969116094a4322858875ea7,2:14,0:04
6969116eb4d7938b61a67d08,N/A,
696911699030a901918829ed,1:45,0:03
69691175f11725785698557e,1:50,0:06
6969116e53a919979d46931c,2:19,0:13
69691178e37d54e95fb1dfcd,2:43,0:09
69691177d2e5f85ba2b4d3fc,2:36,0:06
6969118e882c7d28e6a1ac58,N/A,
696911ab195651dfa9c1a563,0:00,
69691198485911303220ca89,2:49,0:03
69691197068a1459bbd87b64,2:57,0:06
696911aaa12660717ab0a7e0,3:05,0:23
696911b31a1e2723eb1d872f,3:17,0:36
696911b27403c452ca9cbb37,1:59,0:03
696911b5ab232c88ba1393e1,N/A,
696911b754d018b097a3c6fe,2:43,0:28
696911b85010a1eb860a2d8e,2:42,0:07
696911b7673aca0947596a92,2:47,0:15
696911bb1fa7c070e283c636,1:54,0:04
696911bdda2b8d9db6dd8acd,2:38,0:33
696911c79936b54067f37f40,N/A,
696911bec61369d4550494d0,3:07,0:31
696911cbeb53c69f5965977a,N/A,
696911d98216edb9d478c201,N/A,
