session_id,difficulty,fun,feedback
696d518586ad8fab27d549f2,just right,better than average,
696d518aba10d515823f8b11,just right,,no
696d518bb647a71b92468702,just right,better than average,
696d518c1a69cf6e0957e8c9,just right,typical,"None, thank you!"
696d518e4d988a2cbce12cd5,just right,better than average,
696d518d42381fca0d2ac34c,just right,typical,
696d5197f4212540260f9bf4,just right,better than average,very happy 8====D
696d518e64d7d8309bb4597b,just right,better than average,
696d5190ec3838336f459685,too easy,typical,
696d51984b14c2160fb21b7d,too easy,typical,
696d519c8512bd381176b291,just right,better than average,
696d519b103d8f2f8ee3ff8a,just right,,
696d519ca36b549b4e94f51a,just right,better than average,
696d519fc2af63fd7d379560,just right,typical,
696d519f74723da0e93ef9e7,just right,typical,
696d519e153b3f562194f1d5,just right,typical,
696d51a7fb9268cda89816f6,just right,better than average,
696d51a57f148ee76916cab1,just right,better than average,
696d51adafb380b690d9fa67,just right,better than average,thank you
696d51b53ae07f55e2a36459,just right,better than average,
696d51b69e2b5f1724463258,just right,better than average,
696d51b8a65b332349a41f3c,just right,typical,
696d51b9e92549b346fd1b1e,just right,typical,
696d51c0a690dfbe931715fc,just right,better than average,I do not have any other feedback to share.
696d51c9e3f14b90db9eb5da,just right,better than average,
696d51d306b22e9c10d9e254,just right,typical,
696d51d24aeeca15d2e7c055,just right,typical,
696d51d4fb9268cda89816f9,just right,typical,
696d51d5f2b1918f8ddc20d6,just right,better than average,n/a
696d51dcd2c3e87be22a75e4,just right,typical,
696d51dd2803821ff9897447,just right,better than average,none
696d51dd95bf767459ac35e9,just right,typical,Have a great day!
696d51f66575d12dc0ea6d77,just right,typical,
696d51fccc6ecc089fc3c556,just right,typical,
696d520957486d60e8335575,just right,typical,
696d52114c1fc65251ca376d,just right,better than average,
696d520f302cc68ae59444dd,just right,better than average,I enjoyed it.
696d5210a81c5b6952c93d33,just right,better than average,"That was entertaining, thanks!"
696d5217f03a4a5366c932bb,just right,better than average,Thank you for the opportunity!
696d521eb14487e6d24b369d,too easy,better than average,"that was fun, thanks!"
696d52115f3bcefcf3609a3c,just right,better than average,
696d5221103d8f2f8ee3ff8f,just right,typical,Just thank you
696d5239044a92c1381066ae,too easy,typical,
696d52220cff77cf31838947,just right,better than average,
696d523b1ed5ffd816904fe6,just right,typical,"no, thanks for the game"
696d5242a94cab4deb9b0471,too easy,better than average,
696d52418cb0526e5ff66104,just right,better than average,no
696d5242d71524962460f817,too hard,worse than average,
696d5244983a88391deea3c5,just right,typical,
696d52432ef2f580e7ea5263,just right,typical,
696d52471bdb3ba15133ceb1,just right,typical,
696d524f38a6cde20acec605,just right,better than average,
696d524b1fdaba6fcf3febdc,just right,better than average,
696d52539fca18d0cb5a00db,just right,typical,
696d52546210c3448a6080aa,just right,better than average,
696d5257c97948fac690b15a,just right,typical,
696d525cc255e954921e834f,just right,typical,
696d526158ff60ddf1aaec1f,just right,typical,everything was clear and went well
696d526390ca876063a49620,too easy,typical,Nope.
696d52693ae07f55e2a36466,just right,typical,I do not have any feedback. Thank you and have a nice day!
696d5277fda95a6ae274afc1,just right,better than average,
696d5288b78edb72ee1927ae,just right,typical,Cool :)
696d527bcb09922b7094337a,just right,better than average,
696d528a1816367634ed57d9,just right,better than average,no
696d52954aaafd0ceeca3181,just right,typical,
696d529cb4128d815732ca2a,too easy,better than average,None.
696d52a6a31b435a42f96e92,just right,better than average,
696d52ae73dba571640afbdc,just right,typical,
696d52ad326d2b31dbc04835,just right,,
696d52cd6cc9b683e025791f,too easy,better than average,
696d52dcc78b0412dac2c421,just right,typical,
696d52c1ac9dbf18cb58aba1,too easy,better than average,
696d52de4a44d8cefe9b63d1,just right,typical,
696d52e671703c8225e96aed,just right,typical,NA
696d52ea4dea12223f845395,just right,better than average,
696d52e9c6a6077110bdde8c,just right,better than average,
696d52ea78d4620d959b02f2,just right,better than average,
696d52ed4aaafd0ceeca3187,just right,typical,No
696d52eee016d9585133c577,just right,better than average,"Everything worked properly, thanks."
696d52f076a5b98134bf80fd,just right,typical,No.
696d52f0e0deff0a871c5aea,just right,typical,
