session_id,total,consent,refresh,instructions,SequencePrediction,Survey
694727507ded6297b4251e51,3:53,0:41,0:06,1:17,1:28,0:18
69472752c4443d420011ef4f,2:15,0:02,0:03,0:23,1:08,0:36
694727574f89a1b9a66e92ef,2:51,0:28,0:03,0:26,1:23,0:29
6947275ea47ce3904417eb92,2:18,0:02,0:01,0:33,1:14,0:25
6947275ee127e03757c6655e,2:02,0:01,0:02,0:29,1:08,0:21
6947275f9cb45594eff6818f,2:26,0:06,0:02,0:22,1:17,0:37
69472763457de60d4411dc6f,2:22,0:04,0:11,0:27,1:20,0:19
69472765bedcc2ef2e70f63a,N/A,,,,,
69472764515d9242ec5bd877,3:44,1:01,0:04,0:27,1:30,0:36
694727657ef6f50e9f8a35cb,2:37,0:02,0:03,0:20,1:08,1:02
6947276629924dc4a021e92d,N/A,0:49,0:02,0:24,0:56,
6947276a3c4191052ca9d03d,N/A,,,,,
69472766f178a7d36d2f564c,2:13,0:04,0:01,0:19,1:02,0:45
6947276c25f9d04fe7f01174,1:42,0:01,0:01,0:17,1:12,0:07
6947276e38a857b56b66700d,2:58,0:33,0:04,0:28,1:18,0:35
6947276f0d8e57a686ea9c7b,1:49,0:02,0:02,0:23,1:05,0:14
6947276fe4c83e9ee4d3b968,2:13,0:03,0:06,0:26,1:17,0:18
69472771715cad523f935c63,2:42,0:03,0:04,0:42,1:19,0:32
69472774ded3c47cfe54ec41,2:38,0:03,0:06,0:34,1:23,0:28
69472777d7a22eb85432b67d,2:21,0:04,0:03,0:20,1:02,0:50
6947279270c058c438c1f5da,N/A,,,,,
6947277afc3f40d56746317b,3:29,0:02,0:05,1:20,1:16,0:43
694727822febbb1717f82559,2:04,0:02,0:03,0:21,1:08,0:29
6947278925b3996a4ead1a26,1:51,0:01,0:03,0:18,1:07,0:20
6947278d206c566367f5fb62,2:42,0:07,0:04,0:30,1:20,0:38
694727995eb7dbb1be3976c8,2:34,0:03,0:01,0:28,1:25,0:34
694727955a6eef1e976fbac2,2:51,0:16,0:03,0:27,1:28,0:36
694727b0ff824335c881fd25,3:22,0:06,0:46,0:30,1:24,0:34
694727b7ff29b62d4b820c39,2:12,0:06,0:06,0:27,1:08,0:21
694727bb414e3a431342928f,4:15,0:10,0:06,2:12,1:14,0:31
694727bf92e01c8043334453,2:20,0:17,0:04,0:25,1:13,0:18
694727c0c43cf8580048311e,1:52,0:01,0:01,0:25,1:05,0:16
694727d02b787e4aa3c54e95,1:39,0:01,0:02,0:19,1:02,0:13
694727de60afaeb2416b2145,3:31,0:08,0:07,0:34,2:21,0:18
694727e58c2dc6af54a9ca7d,3:17,0:52,0:03,0:34,1:12,0:34
694727e68fc21f37173ed4b0,2:29,0:03,0:06,0:33,1:18,0:26
694727e9653018b0bf21ebfd,3:13,0:02,0:05,0:43,1:44,0:37
694727ef90c85733ad722f5c,1:57,0:01,0:05,0:20,1:09,0:20
694727f6f7551e8d767484a1,N/A,0:08,0:08,,,
694727f2bf4e8d9f664e0d41,2:08,0:17,0:02,0:25,1:07,0:13
694727ff2aba6708dbee5ca8,2:52,0:09,0:01,0:18,2:09,0:12
694728007488ba0ced050373,2:33,0:27,0:02,0:24,1:20,0:16
694727f7920ccf53128cada1,3:53,1:04,0:10,0:35,1:19,0:42
6947280b74f85f60a2553f50,4:04,0:20,0:13,0:37,1:33,1:18
6947280a54f2d7e32569ce39,4:41,0:27,0:05,2:06,1:10,0:50
6947281fab337b3470124b35,2:30,0:03,0:01,0:25,1:06,0:52
69472870d5d377dfc9b63706,N/A,,,,,
6947282940d46fc1aa1bb66d,2:52,0:04,0:03,0:35,1:40,0:27
69472835d5cacc29b172ac0b,1:55,0:01,0:02,0:24,1:10,0:16
694728409c3d19b3b2185490,3:29,0:01,1:43,0:18,1:14,0:10
694728577b329462f4f4d29b,1:51,0:01,0:02,0:16,1:18,0:12
69472871c2b806ca7f6799e5,4:13,0:08,0:05,0:48,1:39,1:31
6947287be653f13a3b9355a2,N/A,,,,,
69472880f608fbd0dfdcca8d,3:10,0:18,0:03,1:23,1:08,0:16
6947287f7b329462f4f4d29f,2:58,0:24,0:03,0:30,1:16,0:42
694728df04c0e470f9f4d2a7,2:26,0:03,0:02,0:21,1:10,0:46
694728a271fa3074386b5882,2:29,0:05,0:03,0:26,1:14,0:38
694728b328fe9ada6662ec3f,1:58,0:18,0:01,0:16,1:07,0:14
694728e61554dc1dedec8909,2:15,0:17,0:04,0:23,1:11,0:17
694728f2013883bd3bc6ff29,2:26,0:17,0:04,0:32,1:04,0:26
6947295b742d044164496826,3:36,0:57,0:05,0:35,1:20,0:36
694728f26ffb574ae7eecde2,2:05,0:11,0:02,0:26,1:10,0:14
694729585414a6d6e547edf1,3:18,1:15,0:04,0:28,1:17,0:11
69472966de865436abe09d84,2:19,0:03,0:05,0:31,1:17,0:19
6947295ba9e451ad6e0b1e25,2:28,0:02,0:03,0:39,1:33,0:10
694729689db763a2599cecc2,N/A,0:02,0:02,0:25,,
