session_id,total,consent,refresh
6949e0a56cbcf54365e4a833,N/A,0:32,0:05
6949e086f178a7d36d2f92c7,2:11,0:05,0:08
6949e0be72971c116f0670bc,1:54,0:03,0:02
6949e1115d9f9fcc984553c2,2:38,0:06,0:04
6949e0e6229f28b5014e61f8,3:11,0:16,0:07
6949e13fa3ae1fd1c5d551a2,1:59,0:06,0:02
6949e186a014f6f376acf075,N/A,,
6949e1aa8ef7351e8129adb4,2:23,0:01,0:01
6949e1b046f9c9ac1955386d,2:53,1:44,0:02
6949e1edd4c3501e5e2d1f60,2:05,0:05,0:02
6949e2018052a507b0715d41,1:50,0:01,0:02
6949e1bf2a9d333f57d02ade,2:34,0:01,0:02
6949e1d4fee89ecc1a815395,3:44,0:07,0:04
6949e2186dbfd6877cda9d7e,2:14,0:01,0:04
6949e21a815f8528ca280967,N/A,0:03,0:05
6949e21cc9db6203f28ac3d7,N/A,,
6949e224563e09b999c2f52d,1:47,0:04,0:01
6949e249e157ca91e1a9ac6d,5:27,0:13,0:08
6949e240e8c82f3198122fcf,3:14,0:10,0:05
6949e25541894228d4df94b6,3:28,0:12,0:06
6949e2558b0ff96abbbc5d59,2:32,0:10,0:01
6949e2b1f9972d24c134b75b,2:07,0:15,0:02
6949e2b8fc9b016a1fff2707,2:20,0:02,0:08
6949e324af9fbdf7a97f0b30,N/A,0:37,
6949e33360f055549f8c1d1d,N/A,,
6949e26ba1d9f3025f5b59c2,2:10,0:01,0:02
6949e2a639151bf7fac3b3ea,2:31,0:01,0:04
6949e2ba6c95948594b0d4ba,2:14,0:02,0:02
6949e33f63e8a69d6ec88125,3:22,0:36,0:09
6949e3c3aa5a9ba28e8c1b2e,N/A,,
6949e3254b92eda4b48da3b0,1:54,0:02,0:03
6949e398889a38042e59bad1,2:11,0:02,0:03
6949e3c17f72e76dbc8153ef,3:02,0:01,0:01
6949e3d504e134ca20fe73b7,2:33,0:04,0:03
6949e42005475fa3a26b7d0f,2:49,0:02,0:02
6949e432ef4eff25755cca74,1:37,0:02,0:01
6949e4676f2cc20977236bb8,2:28,0:07,0:04
6949e47798840e839183c0d0,2:28,0:01,0:04
6949e3aa9cd43a63355fb928,1:51,0:03,0:02
6949e3c7af49ff66833cf735,2:03,0:02,0:01
6949e454af9fbdf7a97f0b45,1:33,0:03,0:02
6949e3fcb6f9918f8ac9cb21,4:03,0:40,0:10
6949e465cf7295e295c34234,2:18,0:03,0:01
6949e48ed66ffbfe38051d10,3:01,0:06,0:04
6949e470541f3e25077ac102,2:02,0:00,0:01
6949e483dea067a8a78d78b7,2:21,0:04,0:02
6949e4ad3da979fead3cd619,2:21,0:02,0:02
6949e49f7ecf0f0fc2c27611,3:26,0:18,0:02
6949e4c7ddbeadd3c64d77b3,2:34,0:14,0:04
6949e4b737a1975221625441,1:57,0:03,0:02
6949e4cbe5ab04f04ed19236,2:26,0:06,0:03
6949e48772430917997ac8a0,2:03,0:04,0:08
6949e4dbc103f05038d9bd56,N/A,,
6949e4da97a4b5deec8cb7f3,3:08,1:03,0:02
6949e4cb45b3f7c34140ad74,4:11,1:33,0:05
6949e4dd1e7510ab1887f5ab,4:46,0:47,0:10
6949e51f1c5ca1434297f6a4,1:41,0:03,0:04
6949e50a8ef7351e8129ae0f,1:31,0:01,0:02
6949e51c17d58e9c5d500b0c,3:44,0:24,0:05
6949e5219996f866421ff444,N/A,,
6949e51b997d98aa6fcdac58,3:27,2:31,0:05
6949e53060f055549f8c1d4c,2:21,0:15,0:03
6949e526549d4727b6cc6dfa,2:37,0:05,0:02
6949e556b7ba52e9643e190a,N/A,0:22,0:04
6949e541c673ace6ea122b5a,2:19,0:10,0:08
6949e58511d827279f178f23,1:58,0:01,0:01
6949e57c1a74b85c7e8ac91d,2:32,0:11,0:08
6949e59dc966dc6927b67c26,N/A,,
6949e569123c5d3d77ab2668,3:17,0:35,0:03
6949e53e5938a0883c1db578,2:29,0:02,0:09
6949e5833da979fead3cd62a,2:26,0:02,0:01
6949e59e04f6aedc5545501a,N/A,,
6949e5db7f88deb0ce50fcc0,1:39,0:01,0:01
6949e60ed7277df22a460de3,N/A,,
6949e5d650ee44b5c9340725,3:43,0:02,0:05
6949e58648cbc8abcf2e972f,3:43,0:04,0:04
6949e5ff37a1975221625466,2:07,0:10,0:01
