session_id,total,consent,instructions,EConnectionCheck,SequencePrediction,Survey
695adb23add23f3bd012e5cb,1:43,0:11,0:16,0:00,1:01,0:11
695adb99510ea6983c79d340,N/A,0:09,0:15,0:00,1:11,0:08
695adb2bbb988b9307142182,2:57,0:08,0:46,0:00,1:32,0:28
695adb3af4ec4fbb21ae1d97,2:04,0:11,0:22,0:00,1:12,0:17
695adb8533866eef65f5dcf7,1:45,0:06,0:19,0:00,1:07,0:11
695adba80870ad41b95f4339,2:27,0:09,0:34,0:00,1:12,0:29
695adc050870ad41b95f4344,1:49,0:07,0:22,0:00,1:06,0:13
695adc108b230b75deab5990,2:14,0:06,0:22,0:00,1:23,0:21
695adc31dc3390be01485c2e,4:53,1:34,0:39,0:00,2:21,0:15
695adc77ba5d9a914206ad91,3:03,0:06,0:35,0:00,1:02,1:17
695adcf4b517a33bbf90476a,2:02,0:07,0:22,0:00,1:12,0:20
695adcf88748e6cf4a7393d4,2:08,0:05,0:25,0:00,1:15,0:22
695add3972297afb8e4bd3f4,N/A,0:17,,,,
695addd4ba322ac6fa6eeccb,2:45,0:35,0:32,0:00,1:09,0:28
695adea07e43ca56ba0cdae7,2:21,0:07,0:18,0:00,1:02,0:52
695adf8732752dc4e4fdc525,2:41,0:19,0:31,0:00,1:24,0:24
695ae10a33866eef65f5dd2e,1:58,0:15,0:22,0:00,0:59,0:21
695ae41dadd23f3bd012e68c,3:18,0:08,0:37,0:00,1:21,1:09
695ae2a1a21c575d189424a9,5:34,0:06,0:28,0:00,4:47,0:10
695ae464765443388fe65d10,3:29,0:06,0:22,0:00,1:05,1:54
695aeb88138ea20880871a05,2:26,0:33,0:27,0:00,1:02,0:22
