session_id,difficulty,fun,feedback
694ee8b6d2db577df2dac448,just right,typical,
694ee8b3d66c2a7b58bdeaf6,just right,typical,
694ee8b6d4015c5f0d764269,just right,better than average,
694ee8bc12a043dd293e1688,just right,better than average,
694ee8bcc81fc6c4b6123be0,just right,worse than average,
694ee8bf179710c93d02b5de,just right,better than average,
694ee8bd90a1769f5231bc94,just right,better than average,
694ee8be0bf5ede341b9778c,just right,typical,
694ee8c1620e36718666e92a,just right,better than average,none
694ee8c5ab52e325d5a3443c,just right,typical,
694ee8c273d5192cdd31bcb7,just right,better than average,
694ee8c8ded7cb35a5a4e701,just right,better than average,
694ee8cacb9b5aab3f7f78d1,just right,better than average,Thanks for the invite .. 
694ee8cee5a64c7322891d1c,just right,typical,
694ee8cb4b6d811f83060ba7,just right,better than average,"Reminds me of that song that goes knock three on the something if you love, twice on the pipe if the answer is no.  Now I've got that song stuck in my head and I don't know the right lyrics.  Lol...man.  Thanks a lot!  Just kidding.  Fun study!!!"
694ee8cca0c4624035bc44e8,just right,better than average,
694ee8cc280b730122dfc269,just right,better than average,all worked well
694ee8ce6ba7ccbd8f6c997f,just right,better than average,
694ee8cd7d4b2115a5cd40b0,just right,better than average,
694ee8d49fd90a79ec8baa24,too easy,typical,
694ee8dfac4ad2bf631a5e12,just right,typical,"♡ lovely, survey, thank you so much. x evie x ♡"
694ee8de9e051d2c9d776edb,just right,typical,
694ee8db5a6fcdfb2835f558,too easy,typical,
694ee8d10bf5ede341b97790,just right,better than average,
694ee8cfccea365b40d19db9,just right,better than average,no
694ee8dfdccd81b00872cbc6,just right,better than average,"Really fun, thanks for including me."
694ee8d0838dd10fa7b05f2f,just right,typical,
694ee8da7f8f2adb48764385,just right,typical,
694ee8d4f09593b9614b1e88,just right,worse than average,"Interesting study, I hope the research goes well!"
694ee8ddcd94dc3c20a1b14e,just right,typical,n/a
694ee8dd620e36718666e931,just right,typical,
694ee8e24f34f2ef38c4d7f2,just right,better than average,
694ee8e437a7efecbfad8a05,just right,better than average,
694ee8e594e2d8b2417d65f9,too easy,better than average,
694ee8e8620e36718666e935,just right,better than average,
694ee8eb731540394a567346,just right,worse than average,
694ee8f3d4fd0dfaf04fe9f0,just right,typical,
694ee8f8bcd274c4ad455359,too easy,better than average,
694ee8eb61f1404f70d4d7f9,just right,typical,No
694ee903634a34222b1fdb30,just right,better than average,
694ee8fcdc5c7c54dbf7e104,just right,better than average,
694ee90eedc4c68a32c89617,just right,typical,
694ee910a6326688db40a545,too easy,better than average,
694ee92e27348a9d72b0451d,just right,,
694ee93489ae6f81e60f8dbb,too easy,better than average,No thank you.
694ee91461522bac21d4eb09,just right,typical,
694ee9055ac16d7f91999b56,just right,better than average,
694ee91210f18f7d53e17d81,just right,better than average,n/a
694ee915a0c4624035bc44ee,just right,better than average,
694ee928f53c8e2a45dcc0e5,just right,better than average,"Fun game, thanks for letting me play"
694ee91de5af500e23e6f83f,just right,better than average,"this really was fun, thank you!"
694ee93ad12c92debaf98ee2,just right,better than average,
694ee938c69b9cb101264803,just right,better than average,
694ee93b640ad93cf0c60134,just right,better than average,That was fun!  Thank you! 
694ee943089ad33429ab391a,just right,better than average,Thank you
694ee94aa3f82acb3610a7be,just right,better than average,very fun!
694ee94e26f91702a936ecc3,just right,better than average,
694ee954612a9b41cf101554,just right,typical,
694ee959342f713e77107bfc,just right,typical,
694ee95f984df9de10a71ca2,too easy,typical,I had no issues.
694ee95c49d1da17fb111fd0,just right,typical,
694ee9601bb8f5b2c1fc9572,just right,typical,
694ee966b64d5755a3b26cf5,just right,better than average,
694ee9642900cd825d6c3583,just right,better than average,It felt satisfying once the pattern was picked up.
694ee96e4d4b4df88bba0f15,too easy,worse than average,
694ee970ac287b416b4026b4,too easy,typical,
694ee9726207eb2dbb060916,just right,typical,
694ee975f7f1d3401de997e8,just right,typical,
694ee97282904c73da076e13,just right,typical,
694ee977976fd4c502486e1c,just right,typical,"this was fun, kind of short, but fun."
694ee97daf8f43179d995135,just right,better than average,
694ee97e88eecccdd689fbf1,just right,better than average,
694ee97a8e2568c88e1cee5c,just right,better than average,no
694ee981cd94dc3c20a1b15e,just right,better than average,
694ee989c4efb048fc1ae2b3,just right,typical,
694ee98459852b4cd7daceb4,just right,better than average,
694ee992a95b0b0b5d831a58,just right,better than average,
694ee9987b1df882e90f8f11,just right,typical,
694ee995b14451a486a49636,too easy,typical,
694ee99e5b90843e131ff2e4,too easy,better than average,Fun study to do after Christmas.  Happy Holidays!
694ee9856ed0fe9a2f5632df,too easy,typical,No
694ee9844b6d811f83060bbb,just right,better than average,
694ee9838e2568c88e1cee5e,just right,typical,Thanks for the opportunity to participate.
694ee988dd01cabb4be9e1de,too easy,better than average,
694ee98d3cd3e62938586998,just right,better than average,
694ee98ec4efb048fc1ae2b5,just right,better than average,no comments
694ee99cb58f9ceed5e4897c,just right,better than average,
694ee9a033db665bd9123e51,too easy,better than average,
694ee9a3dd01cabb4be9e1e2,too easy,better than average,
694ee99f695e40b961d36022,too easy,better than average,Thanks!! That was fun
694ee9aa5440a88f97c60164,just right,better than average,"so fun, hope for more in the future"
694ee9a575af634232636657,just right,typical,
694ee9e9838dd10fa7b05f3e,just right,better than average,
694ee9aed14e4892f2eb59aa,too easy,typical,
694ee9cee5af500e23e6f858,just right,better than average,it was fun to do.
694ee9da65cda596c312e2d9,too easy,typical,
694ee9d85b84d5f1e0b74cfb,just right,better than average,
694ee9deada233a83fceb9bb,just right,typical,
694ee9f43f23c30e60642500,just right,better than average,
694ee9f635bb6e5798ad59f0,just right,better than average,
694eea0c4dfa11603cd12397,just right,typical,
694eea0f526761691fc8a23c,just right,typical,
694eea1049d1da17fb111fe4,just right,better than average,
694ee9fb94e2d8b2417d6611,too easy,typical,n
694eea10caa38acd8a43a6f3,just right,typical,
694eea0595656a623df0ae25,just right,better than average,
694eea11620e36718666e94e,too easy,better than average,
694eea17219ccdb87138260b,just right,better than average,
694eea19116868d59eb044fe,just right,typical,Thank you
694eea21489b8bcfed1a5e33,just right,typical,
694eea21697b409ddbe64b91,just right,better than average,
694eea029d5beea6d880d194,just right,typical,Thanks
694eea0494cc50e140a3cd3a,just right,better than average,Experiment was fun and everything ran smoothly with no issues.  I appreciate having the chance to participate.
694eea0e8a72b9325df6dc02,just right,better than average,
694eea1e49d1da17fb111fe7,just right,better than average,
694eea23801e428fcd40dc24,too easy,worse than average,no
694eea34ed5e3507c4b0349a,just right,worse than average,
694eea60a6beac7f2adac20d,just right,typical,
694eea68b5edebb2096e2ef5,just right,typical,"After pressing the key the first time, it was difficult to read the text which said to press space. The cyan colour on a white background is not clear."
694eea640fb044d7b1771345,just right,typical,
694eea788e2568c88e1cee75,just right,better than average,fun!
694eea8127348a9d72b0453d,just right,better than average,
694eea892c82152863e57e4e,just right,better than average,"Great Study, hope to do more in the future."
694eea8da6326688db40a56b,just right,typical,
694eea8b76d5de5eae0d741e,just right,typical,Nothing at this time.
694eea8ea363c3545b1bd199,just right,better than average,
694eea90697b409ddbe64b9f,just right,better than average,
694eea8c5005df94bac9594e,just right,better than average,enjoyed it
694eea8f75af634232636668,just right,better than average,
694eea90da92c9040349bf63,just right,better than average,
694eea91697b409ddbe64ba1,just right,typical,
694eea95db8c9a1e52c202ba,just right,typical,
694eeaa4f6c5bc8a906364b5,just right,better than average,"cool survey, thank you."
694eeaa79fd90a79ec8bab2b,just right,better than average,
694eeaab65cda596c312e2f4,just right,typical,
694eea946aba30210e26e231,just right,typical,
694eeab88a72b9325df6dc15,just right,typical,
694eead3f53c8e2a45dcc116,too easy,better than average,
694eeb0b66fbb2c8fc6aaf97,just right,better than average,
694eeb191dc5efc9c2ad598f,just right,typical,
694eeb3575af634232636677,just right,typical,
694eeb63e851bee7f0be7d67,too easy,better than average,none
694eeb9e6aba30210e26e24c,too easy,typical,
694eeb2dc506dc391140bed1,just right,better than average,
694eeb34436810f296892d70,just right,better than average,enjoyable
694eec0d5ac16d7f91999b9d,just right,typical,
694eec112607f0ffb51eb3b1,just right,better than average,no
694eebeea1b84d2f949bf0b9,just right,better than average,This was fun!  Thank you for the opportunity to play!  Wishing you a great day!  :)
694eeb9e7722531ce66e03f7,too easy,better than average,Fun game! Would love to try more.
694eec26657c9f51d6a6be43,too easy,typical,N/A
694eec2faf8f43179d9951a2,just right,better than average,Went very well.
694eec802fe31149c18f7eb1,just right,better than average,
694eec869f9914cb95c94dea,just right,typical,
694eebfc522c8860fbae1531,too easy,typical,Thanks!
694eec274dfa11603cd123bf,just right,typical,
694eecabc506dc391140bef2,just right,better than average,Nothing else at the moment.
694eecf83f23c30e60642567,just right,typical,
694eed12c51f353ceda3b253,just right,better than average,
694eed1384c7f03f93ecba29,just right,better than average,
694eed7c6dd05b2f8a2caabb,just right,typical,
694eed62bdacd5188e357a29,just right,better than average,nope
694eed871ec9db0fa584aed7,just right,better than average,
694eed06d1bd77e22e58a8e9,just right,better than average,
694eed01391da75f0171430c,too hard,typical,
694eed45e5a64c7322891d86,just right,typical,
694eed64bb80cddc79b8e57f,just right,better than average,good luck :)
694eee14cef1aa262093c178,too easy,typical,no
694eee52929f26ad3dab396f,just right,better than average,"It was interesting, thanks!"
694eeeddf64907c59ec20e5f,just right,better than average,
694eef47cbeb0b19e98f4fad,just right,typical,
694eeedf3c4235b93bbb6065,just right,better than average,it was an interesting study
